mesh_n,phase,required_accuracy,inferred_accuracy_from_energy,inferred_accuracy_from_density,energy_convergence_Ha,density_convergence_e,process_output_sha256,qualification
1,Ih,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,c0d2569974202b6da906d44ec8fabf2305609d863fe9a56eec036a2d7b319c82,PASS
1,II,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,fabc493c6fb1b46189d263a405d6d4ce4c50784dc84f25796fa587e8b544822d,PASS
1,III,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,da8a27f2627074238a33f43c69289deaf771dd79d8192624ac42229d397f0fb9,PASS
1,IV,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,151f51c8fc7393f6cb19c53693d90b6ce64ac38d35c5a7bf31f3e4fe3dfa4b0c,PASS
1,VI,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,55dce20009b59187651ce6f17a35696accdd81a927c6f4c51654404b069451e0,PASS
1,VII,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,c07f15393f1efc0b6ecde963dafbe9efa5e7adc991c05b601d4f98a5659c1eb6,PASS
1,VIII,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,38e5f3ad2fe00fc7284d5f32f4bb0235f8be208a16610e24fc4200557d7eb0e4,PASS
1,IX,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,3ce78208e8235d5b284558cdabcb47c114c5a822b035718b8c31d93b7187eee2,PASS
1,XI,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,ff066bac5ffa00b5c18789715b1f8bf5d2a1888e3edee45cd5cb540ce3650909,PASS
1,XIII,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,aa2e1e45e02ce3f612a42bae5315e1364afde7b2561e7b18187be1dbd7e514b1,PASS
1,XIV,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,f2f0015418befcac9da6c5654fdec69427a4274d36633485a673b2f9a4163a78,PASS
1,XV,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,a130d52ac3990cb19ecb346ced0648db25bdf834f450e4e1125466c186bf62f9,PASS
1,XVII,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,14e8779941afb1a670d70f54bc27ea9fcf6dade85fe11ae91f98f9eb92787f8c,PASS
2,Ih,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,15d41eb1462b9d58259cd902ec1b4e882c249e4c269882f07c6e81f4dd0ad2d0,PASS
2,II,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,b879d42e3c88d574789e32f041fc2280b566efa87acaf6edf7cddd0a7f860a1b,PASS
2,III,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,14e597eb97b2ae0dde393f373cf20762328c02fc4988ff790d2fe7bdb6fa29b3,PASS
2,IV,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,1013c2a7d155691b54ff4f1c1894ead201e5b7bf9d47452a86829aefb5c50b0d,PASS
2,VI,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,078382f76a8de9cf7ad9cb6cb3acc54cbcc200c0a15a66211f060e529b360c30,PASS
2,VII,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,af45f447b958c5e02cb7fdb6edda31da266d4974eb48b1c5164b0c4d169b1575,PASS
2,VIII,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,e92fa066dbcb42f62eb9d9309a8ed705c31899f9fd7f174c1bd60b9cd1ad4b2f,PASS
2,IX,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,4054206d4e390a0e9f31dec40d8571e6a6935cf16a8bfe365eb85f131f24133b,PASS
2,XI,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,516d9fac3afe8457e3dab28b11c39e1feb6cb184fdd33e8c490f2ea625959aa0,PASS
2,XIII,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,0c65df1adea65c51c24660d92442529077ea55c1ce58c9b5ad71cce87d3806e5,PASS
2,XIV,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,b8e4c2e01af85cccedcee4f4cfb9df5fae26cd407ff09df0a073a12d3f4dfb13,PASS
2,XV,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,87c9412bfb5a9fa4f3c1f3d117d175bbf4e04c7c1a28575d82ddf103bded69b1,PASS
2,XVII,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,24d8b2a5d52afa1964b5561234f864ee2f1ba7b60f61d0e54e9149d86571c680,PASS
3,Ih,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,8ce1524dc2b706091ebd6a14ae0294d6e5b057836173853bd551fa28c9b93a74,PASS
3,II,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,53c0625cb80add00efc7ce91663667f806c64ba7ccaa86db0a7e1ec9abc218b1,PASS
3,III,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,27b4ac78ad073c15b916fa7c1740c68cc4296f2ea3afc22e43668a47044aaaa0,PASS
3,IV,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,1aff0ed02c624de403ba73ad1ac1e14697625c8c347d3e8fe550f4dad371f472,PASS
3,VI,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,176fb321f2635405249a2a007679791912a1a0ef44caa7eedc98570899ba0397,PASS
3,VII,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,c200e6693a3b95f4f96942c7940b3838bf70a9456647f3ba7213614ae72b5711,PASS
3,VIII,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,1df6bd2461499e61253c5c9c30e20866c88597268fa461f3811fa2d2b1546053,PASS
3,IX,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,f42b097210175699e138b16278402ba7fa818c824beac420a2ada9f228c661b6,PASS
3,XI,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,bb535dc96a777f00aabfa416ea191fd152b51e7b610de2321110dafcb39c58b5,PASS
3,XIII,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,8d0dcce6c24da831fab2b9e72188abb7e2722edb5facf8d53d43cc96b22712be,PASS
3,XIV,0.1,0.1,0.09999999999999999,9.9999999999999995e-08,1.9999999999999999e-06,cef711cf8dfa7f7a5904401692c03d39b6a92d2aadd0962cb7b01f2440b435c4,PASS
