method,mesh_n,phase,relative_energy_kj_mol_per_H2O,dmc_reference_kj_mol_per_H2O,error_kj_mol_per_H2O,absolute_error_kj_mol_per_H2O,qualification
CP2K-native pbc provider,2,XIII,6.872360672447,2.120000,4.752360672447,4.752360672447,PASS
CP2K-native pbc provider,2,XIV,-199.607037403887,1.700000,-201.307037403887,201.307037403887,PASS
CP2K-native pbc provider,2,XV,-58.045560486171,1.740000,-59.785560486171,59.785560486171,PASS
CP2K-native pbc provider,2,XVII,-51.558717497715,1.750000,-53.308717497715,53.308717497715,PASS
CP2K-native pbc provider,3,II,-9.052122321210,0.310000,-9.362122321210,9.362122321210,PASS
CP2K-native pbc provider,3,III,-2.299610990511,1.250000,-3.549610990511,3.549610990511,PASS
CP2K-native pbc provider,3,IV,2.904346265887,3.830000,-0.925653734113,0.925653734113,PASS
CP2K-native pbc provider,3,VI,-12.321024967755,1.780000,-14.101024967755,14.101024967755,PASS
CP2K-native pbc provider,3,VII,-153.898146955623,4.990000,-158.888146955623,158.888146955623,PASS
CP2K-native pbc provider,3,VIII,-38.486259267871,4.230000,-42.716259267871,42.716259267871,PASS
CP2K-native pbc provider,3,IX,-2.460998734167,0.600000,-3.060998734167,3.060998734167,PASS
CP2K-native pbc provider,3,XI,-62.523168276147,0.160000,-62.683168276147,62.683168276147,PASS
CP2K-native pbc provider,3,XIII,0.926729513961,2.120000,-1.193270486039,1.193270486039,PASS
CP2K-native pbc provider,3,XIV,-83.899711714503,1.700000,-85.599711714503,85.599711714503,PASS
CP2K-native pbc provider,3,XV,-12.545496741036,1.740000,-14.285496741036,14.285496741036,PASS
CP2K-native pbc provider,3,XVII,-10.466385740566,1.750000,-12.216385740566,12.216385740566,PASS
CP2K-native pbc provider,4,II,-2.513144332386,0.310000,-2.823144332386,2.823144332386,PASS
CP2K-native pbc provider,4,III,1.264036142972,1.250000,0.014036142972,0.014036142972,PASS
CP2K-native pbc provider,4,IV,1.405718427516,3.830000,-2.424281572484,2.424281572484,PASS
CP2K-native pbc provider,4,VI,-1.048055217778,1.780000,-2.828055217778,2.828055217778,PASS
CP2K-native pbc provider,4,VII,-63.955253819072,4.990000,-68.945253819072,68.945253819072,PASS
CP2K-native pbc provider,4,VIII,-6.163477349517,4.230000,-10.393477349517,10.393477349517,PASS
CP2K-native pbc provider,4,IX,-0.372870780640,0.600000,-0.972870780640,0.972870780640,PASS
CP2K-native pbc provider,4,XI,-14.875006645914,0.160000,-15.035006645914,15.035006645914,PASS
CP2K-native pbc provider,4,XIII,0.123067620531,2.120000,-1.996932379469,1.996932379469,PASS
CP2K-native pbc provider,4,XIV,-23.938100045934,1.700000,-25.638100045934,25.638100045934,PASS
CP2K-native pbc provider,4,XV,-1.097387628033,1.740000,-2.837387628033,2.837387628033,PASS
CP2K-native pbc provider,4,XVII,-0.727224094238,1.750000,-2.477224094238,2.477224094238,PASS
CP2K-native pbc provider,5,II,-1.751209197801,0.310000,-2.061209197801,2.061209197801,PASS
CP2K-native pbc provider,5,III,1.637489090846,1.250000,0.387489090846,0.387489090846,PASS
CP2K-native pbc provider,5,IV,1.286795887227,3.830000,-2.543204112773,2.543204112773,PASS
CP2K-native pbc provider,5,VI,0.455318480049,1.780000,-1.324681519951,1.324681519951,PASS
CP2K-native pbc provider,5,VII,-21.860960292900,4.990000,-26.850960292900,26.850960292900,PASS
CP2K-native pbc provider,5,VIII,0.489976040174,4.230000,-3.740023959826,3.740023959826,PASS
CP2K-native pbc provider,5,IX,-0.167194869264,0.600000,-0.767194869264,0.767194869264,PASS
CP2K-native pbc provider,5,XI,-2.561509806027,0.160000,-2.721509806027,2.721509806027,PASS
CP2K-native pbc provider,5,XIII,0.056163127084,2.120000,-2.063836872916,2.063836872916,PASS
CP2K-native pbc provider,5,XIV,-5.462219419517,1.700000,-7.162219419517,7.162219419517,PASS
CP2K-native pbc provider,5,XV,0.436613107080,1.740000,-1.303386892920,1.303386892920,PASS
CP2K-native pbc provider,5,XVII,0.518654375510,1.750000,-1.231345624490,1.231345624490,PASS
CP2K-native pbc provider,6,II,-1.673140435542,0.310000,-1.983140435542,1.983140435542,PASS
CP2K-native pbc provider,6,III,1.672165228326,1.250000,0.422165228326,0.422165228326,PASS
CP2K-native pbc provider,6,IV,1.278275951726,3.830000,-2.551724048274,2.551724048274,PASS
CP2K-native pbc provider,6,VI,0.630350366028,1.780000,-1.149649633972,1.149649633972,PASS
CP2K-native pbc provider,6,VII,-6.584448779061,4.990000,-11.574448779061,11.574448779061,PASS
CP2K-native pbc provider,6,VIII,1.605099765336,4.230000,-2.624900234664,2.624900234664,PASS
CP2K-native pbc provider,6,IX,-0.149213410206,0.600000,-0.749213410206,0.749213410206,PASS
CP2K-native pbc provider,6,XI,-0.054671152098,0.160000,-0.214671152098,0.214671152098,PASS
CP2K-native pbc provider,6,XIV,-1.064873294721,1.700000,-2.764873294721,2.764873294721,PASS
CP2K-native pbc provider,6,XV,0.615966711167,1.740000,-1.124033288833,1.124033288833,PASS
CP2K-native pbc provider,6,XVII,0.657455557145,1.750000,-1.092544442855,1.092544442855,PASS
CP2K-native pbc provider,7,VI,0.649689340153,1.780000,-1.130310659847,1.130310659847,PASS
CP2K-native pbc provider,7,VII,-1.826161947227,4.990000,-6.816161947227,6.816161947227,PASS
CP2K-native pbc provider,7,VIII,1.782418369861,4.230000,-2.447581630139,2.447581630139,PASS
CP2K-native pbc provider,7,XIV,-0.111024864121,1.700000,-1.811024864121,1.811024864121,PASS
CP2K-native pbc provider,7,XV,0.635864765327,1.740000,-1.104135234673,1.104135234673,PASS
CP2K-native pbc provider,7,XVII,0.672285685199,1.750000,-1.077714314801,1.077714314801,PASS
CP2K-native pbc provider,8,VII,-0.441453685894,4.990000,-5.431453685894,5.431453685894,PASS
CP2K-native pbc provider,8,VIII,1.810235969010,4.230000,-2.419764030990,2.419764030990,PASS
author pbc CLI,2,II,-40.056162616318,0.310000,-40.366162616318,40.366162616318,PASS
author pbc CLI,2,III,-21.728016057439,1.250000,-22.978016057439,22.978016057439,PASS
author pbc CLI,2,IV,14.909575775296,3.830000,11.079575775296,11.079575775296,PASS
author pbc CLI,2,VI,-57.502753280215,1.780000,-59.282753280215,59.282753280215,PASS
author pbc CLI,2,VII,-300.067320161804,4.990000,-305.057320161804,305.057320161804,PASS
author pbc CLI,2,VIII,-121.498882525679,4.230000,-125.728882525679,125.728882525679,PASS
author pbc CLI,2,IX,-14.812836787859,0.600000,-15.412836787859,15.412836787859,PASS
author pbc CLI,2,XI,-165.257377908596,0.160000,-165.417377908596,165.417377908596,PASS
author pbc CLI,2,XIII,6.868364020212,2.120000,4.748364020212,4.748364020212,PASS
author pbc CLI,2,XIV,-199.611684777200,1.700000,-201.311684777200,201.311684777200,PASS
author pbc CLI,2,XV,-58.050293332028,1.740000,-59.790293332028,59.790293332028,PASS
author pbc CLI,2,XVII,-51.559121420866,1.750000,-53.309121420866,53.309121420866,PASS
author pbc CLI,3,II,-9.054674468559,0.310000,-9.364674468559,9.364674468559,PASS
author pbc CLI,3,III,-2.341718734421,1.250000,-3.591718734421,3.591718734421,PASS
author pbc CLI,3,IV,2.892295286943,3.830000,-0.937704713057,0.937704713057,PASS
author pbc CLI,3,VI,-12.421511801622,1.780000,-14.201511801622,14.201511801622,PASS
author pbc CLI,3,VII,-153.975297576434,4.990000,-158.965297576434,158.965297576434,PASS
author pbc CLI,3,VIII,-38.490190110106,4.230000,-42.720190110106,42.720190110106,PASS
author pbc CLI,3,IX,-2.462552657305,0.600000,-3.062552657305,3.062552657305,PASS
author pbc CLI,3,XI,-62.538655042867,0.160000,-62.698655042867,62.698655042867,PASS
author pbc CLI,3,XIII,0.923689537732,2.120000,-1.196310462268,1.196310462268,PASS
author pbc CLI,3,XIV,-83.903026598902,1.700000,-85.603026598902,85.603026598902,PASS
author pbc CLI,3,XV,-12.548998010281,1.740000,-14.288998010281,14.288998010281,PASS
author pbc CLI,3,XVII,-10.466416914384,1.750000,-12.216416914384,12.216416914384,PASS
current pbc CLI,1,II,-85.402832480791,0.310000,-85.712832480791,85.712832480791,PASS
current pbc CLI,1,III,-52.784771448006,1.250000,-54.034771448006,54.034771448006,PASS
current pbc CLI,1,IV,38.666296487481,3.830000,34.836296487481,34.836296487481,PASS
current pbc CLI,1,VI,-119.951876462899,1.780000,-121.731876462899,121.731876462899,PASS
current pbc CLI,1,VII,-491.873083815613,4.990000,-496.863083815613,496.863083815613,PASS
current pbc CLI,1,VIII,-227.181421040355,4.230000,-231.411421040355,231.411421040355,PASS
current pbc CLI,1,IX,-36.269951925783,0.600000,-36.869951925783,36.869951925783,PASS
current pbc CLI,1,XI,-299.258518836626,0.160000,-299.418518836626,299.418518836626,PASS
current pbc CLI,1,XIII,16.464730608559,2.120000,14.344730608559,14.344730608559,PASS
current pbc CLI,1,XIV,-351.956576532881,1.700000,-353.656576532881,353.656576532881,PASS
current pbc CLI,1,XV,-121.156628176656,1.740000,-122.896628176656,122.896628176656,PASS
current pbc CLI,1,XVII,-112.486904450047,1.750000,-114.236904450047,114.236904450047,PASS
current pbc CLI,2,II,-40.052769548562,0.310000,-40.362769548562,40.362769548562,PASS
current pbc CLI,2,III,-21.669458368756,1.250000,-22.919458368756,22.919458368756,PASS
current pbc CLI,2,IV,14.926647908813,3.830000,11.096647908813,11.096647908813,PASS
current pbc CLI,2,VI,-57.367276074495,1.780000,-59.147276074495,59.147276074495,PASS
current pbc CLI,2,VII,-299.975204903283,4.990000,-304.965204903283,304.965204903283,PASS
current pbc CLI,2,VIII,-121.493623038083,4.230000,-125.723623038083,125.723623038083,PASS
current pbc CLI,2,IX,-14.811033266160,0.600000,-15.411033266160,15.411033266160,PASS
current pbc CLI,2,XI,-165.236809268426,0.160000,-165.396809268426,165.396809268426,PASS
current pbc CLI,2,XIII,6.872357662713,2.120000,4.752357662713,4.752357662713,PASS
current pbc CLI,2,XIV,-199.607041791688,1.700000,-201.307041791688,201.307041791688,PASS
current pbc CLI,2,XV,-58.045564075785,1.740000,-59.785564075785,59.785564075785,PASS
current pbc CLI,2,XVII,-51.558720983607,1.750000,-53.308720983607,53.308720983607,PASS
current pbc CLI,3,II,-9.052128552229,0.310000,-9.362128552229,9.362128552229,PASS
current pbc CLI,3,III,-2.299617048110,1.250000,-3.549617048110,3.549617048110,PASS
current pbc CLI,3,IV,2.904340310370,3.830000,-0.925659689630,0.925659689630,PASS
current pbc CLI,3,VI,-12.321031303355,1.780000,-14.101031303355,14.101031303355,PASS
current pbc CLI,3,VII,-153.898129900577,4.990000,-158.888129900577,158.888129900577,PASS
current pbc CLI,3,VIII,-38.486266197120,4.230000,-42.716266197120,42.716266197120,PASS
current pbc CLI,3,IX,-2.461004071112,0.600000,-3.061004071112,3.061004071112,PASS
current pbc CLI,3,XI,-62.523175264048,0.160000,-62.683175264048,62.683175264048,PASS
current pbc CLI,3,XIII,0.926723486584,2.120000,-1.193276513416,1.193276513416,PASS
current pbc CLI,3,XIV,-83.899718986935,1.700000,-85.599718986935,85.599718986935,PASS
current pbc CLI,3,XV,-12.545503073689,1.740000,-14.285503073689,14.285503073689,PASS
current pbc CLI,3,XVII,-10.466391957817,1.750000,-12.216391957817,12.216391957817,PASS
current pbc CLI,4,II,-2.513150603252,0.310000,-2.823150603252,2.823150603252,PASS
current pbc CLI,4,III,1.264029937698,1.250000,0.014029937698,0.014029937698,PASS
current pbc CLI,4,IV,1.405712159485,3.830000,-2.424287840515,2.424287840515,PASS
current pbc CLI,4,VI,-1.048061577331,1.780000,-2.828061577331,2.828061577331,PASS
current pbc CLI,4,VII,-63.955235096392,4.990000,-68.945235096392,68.945235096392,PASS
current pbc CLI,4,VIII,-6.163484047291,4.230000,-10.393484047291,10.393484047291,PASS
current pbc CLI,4,IX,-0.372876272237,0.600000,-0.972876272237,0.972876272237,PASS
current pbc CLI,4,XI,-14.875013200229,0.160000,-15.035013200229,15.035013200229,PASS
current pbc CLI,4,XIII,0.123061371006,2.120000,-1.996938628994,1.996938628994,PASS
current pbc CLI,4,XIV,-23.938106879109,1.700000,-25.638106879109,25.638106879109,PASS
current pbc CLI,4,XV,-1.097393985422,1.740000,-2.837393985422,2.837393985422,PASS
current pbc CLI,4,XVII,-0.727230275074,1.750000,-2.477230275074,2.477230275074,PASS
historical mstore-inorganic CLI,2,II,11.549596417487,0.310000,11.239596417487,11.239596417487,PASS
historical mstore-inorganic CLI,2,III,-29.811523391510,1.250000,-31.061523391510,31.061523391510,PASS
historical mstore-inorganic CLI,2,IV,0.256599145141,3.830000,-3.573400854859,3.573400854859,PASS
historical mstore-inorganic CLI,2,VI,-28.460677817350,1.780000,-30.240677817350,30.240677817350,PASS
historical mstore-inorganic CLI,2,VII,-151.947965741842,4.990000,-156.937965741842,156.937965741842,PASS
historical mstore-inorganic CLI,2,VIII,-77.417542603032,4.230000,-81.647542603032,81.647542603032,PASS
historical mstore-inorganic CLI,2,IX,-24.470250890265,0.600000,-25.070250890265,25.070250890265,PASS
historical mstore-inorganic CLI,2,XI,-84.549975905731,0.160000,-84.709975905731,84.709975905731,PASS
historical mstore-inorganic CLI,2,XIII,0.922244833924,2.120000,-1.197755166076,1.197755166076,PASS
historical mstore-inorganic CLI,2,XIV,-99.557194036284,1.700000,-101.257194036284,101.257194036284,PASS
historical mstore-inorganic CLI,2,XV,-28.664951204286,1.740000,-30.404951204286,30.404951204286,PASS
historical mstore-inorganic CLI,2,XVII,-25.438330429983,1.750000,-27.188330429983,27.188330429983,PASS
historical mstore-inorganic CLI,3,II,-0.279988209907,0.310000,-0.589988209907,0.589988209907,PASS
historical mstore-inorganic CLI,3,III,-1.720202220170,1.250000,-2.970202220170,2.970202220170,PASS
historical mstore-inorganic CLI,3,IV,1.653583137544,3.830000,-2.176416862456,2.176416862456,PASS
historical mstore-inorganic CLI,3,VI,-5.912105883998,1.780000,-7.692105883998,7.692105883998,PASS
historical mstore-inorganic CLI,3,VII,-77.446667006181,4.990000,-82.436667006181,82.436667006181,PASS
historical mstore-inorganic CLI,3,VIII,-19.706722185486,4.230000,-23.936722185486,23.936722185486,PASS
historical mstore-inorganic CLI,3,IX,-2.774771626398,0.600000,-3.374771626398,3.374771626398,PASS
historical mstore-inorganic CLI,3,XI,-31.168750655955,0.160000,-31.328750655955,31.328750655955,PASS
historical mstore-inorganic CLI,3,XIII,0.442953962487,2.120000,-1.677046037513,1.677046037513,PASS
historical mstore-inorganic CLI,3,XIV,-41.779791859131,1.700000,-43.479791859131,43.479791859131,PASS
historical mstore-inorganic CLI,3,XV,-5.934441749535,1.740000,-7.674441749535,7.674441749535,PASS
historical mstore-inorganic CLI,3,XVII,-4.880577524129,1.750000,-6.630577524129,6.630577524129,PASS
